,Month,Municipality,Offence group and specifier for criminal act,Information,value
130,2009M11,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),92.0
131,2009M11,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),50.0
132,2009M11,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),38.0
133,2009M11,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
134,2009M11,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
135,2009M11,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
136,2009M11,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
137,2009M11,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
138,2009M11,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
139,2009M11,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
140,2009M11,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
141,2009M11,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
142,2009M11,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
143,2009M12,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),73.0
144,2009M12,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),44.0
145,2009M12,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),26.0
146,2009M12,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
147,2009M12,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
148,2009M12,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
149,2009M12,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
150,2009M12,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
151,2009M12,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
152,2009M12,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
153,2009M12,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
154,2009M12,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
155,2009M12,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
156,2010M01,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),74.0
157,2010M01,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),41.0
