,Month,Municipality,Offence group and specifier for criminal act,Information,value
92,2009M04,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),44.0
93,2009M04,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),20.0
94,2009M04,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),10.0
95,2009M04,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
96,2009M04,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
97,2009M04,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),12.0
98,2009M04,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
99,2009M04,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
100,2009M04,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),43.0
101,2009M04,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
102,2009M04,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
103,2009M04,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
104,2009M04,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
105,2009M04,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
106,2009M04,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
107,2009M04,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
108,2009M04,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
109,2009M04,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
110,2009M04,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
111,2009M04,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
112,2009M04,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
113,2009M04,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
114,2009M04,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
115,2009M04,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
116,2009M04,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
117,2009M04,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
118,2009M04,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
119,2009M04,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
120,2009M05,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),191.0
121,2009M05,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),75.0
122,2009M05,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),83.0
123,2009M05,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),56.0
124,2009M05,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),16.0
125,2009M05,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
126,2009M05,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
127,2009M05,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),10.0
128,2009M05,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
129,2009M05,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
130,2009M05,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),33.0
131,2009M05,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
132,2009M05,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
133,2009M05,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
134,2009M05,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
135,2009M05,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
136,2009M05,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
137,2009M05,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
138,2009M05,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
139,2009M05,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
140,2009M05,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
141,2009M05,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
142,2009M05,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
143,2009M05,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
144,2009M05,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
145,2009M05,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
146,2009M05,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
147,2009M05,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
148,2009M05,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
149,2009M05,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
150,2009M06,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),204.0
151,2009M06,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),84.0
152,2009M06,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),62.0
153,2009M06,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),30.0
154,2009M06,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),12.0
155,2009M06,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
156,2009M06,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
157,2009M06,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),20.0
158,2009M06,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),0.0
159,2009M06,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
160,2009M06,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),58.0
161,2009M06,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
162,2009M06,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
